key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:initial_balance,50000.00
meta:final_balance,50876.30
m15_bars_in_window,1162
bias_active,1158
h1_confirmed,545
veto:no_sweep,528
veto:h1:h1_trend,571
sweep_detected,17
sweep_m15_level:ASH,4
sweep_m15_level:PRE_NY_H,4
sweep_at:2026.02.13 15:45,1
sweep_level:ASH,4
sweep_level:PRE_NY_H,4
sweep_confirmed_both_timeframes,17
entry_armed_after_m15_m5_sweep,17
m1_zone_found,52
reset:m1_choch,6
veto:h1:h1_swing_violation,42
sweep_m15_level:PRE_NY_L,3
sweep_at:2026.03.11 15:15,1
sweep_level:PRE_NY_L,3
sweep_m15_level:PNYL,4
sweep_at:2026.03.11 16:00,1
sweep_level:PNYL,4
m1_trigger:strict_bos,9
orders_placed,9
orders_filled,9
exit:SESSION_CLOSE,2
position_cycle_completed,9
sweep_at:2026.03.16 16:15,1
sweep_m15_level:PNYH,2
sweep_at:2026.03.20 15:15,1
sweep_level:PNYH,2
sweep_at:2026.03.23 15:15,1
reset:entry_timeout,2
sweep_at:2026.03.23 16:30,1
sweep_m15_level:ASL,5
sweep_at:2026.03.25 14:45,1
sweep_level:ASL,5
sweep_at:2026.04.08 15:45,1
sweep_m15_level:PDL,3
sweep_at:2026.04.16 17:15,1
sweep_level:PDL,3
sweep_at:2026.04.27 17:15,1
sweep_at:2026.05.04 17:00,1
sweep_at:2026.05.05 16:30,1
sweep_at:2026.06.05 15:30,1
sweep_at:2026.07.06 16:45,1
veto:m15:data_quality,4
sweep_at:2026.07.29 15:45,1
sweep_at:2026.08.03 16:00,1
